GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01025","Clarke, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",28083,26536,25876,26280,26544,26907,27385,27850,28225,28360,27646,27797,28128,27946,27864,27637,27419,27363,27527,27271,27164,27289,27391,27522,27532,27646,27455,27503,27934,27756,27919,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25760,25552,25095,25036,24750,24560,24164,23878,23733,23393,22995,22760
 "01025","Clarke, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2154,2425,2670,2897,3202,3548,3835,4472,5074,5823,6407,6976,7327,7696,8320,9053,9698,10079,10452,11246,12393,13312,13902,14571,15156,15785,16951,18153,18446,18923,19506,20259,19926,20277,21345,22876,23845,25000,26598,27032,27324,28611,29258,29991,31405,32450,33774,34642,34956,35755,37426,41862,45232
 "01027","Clay, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",28957,30091,32113,36386,40439,42473,48749,55169,62255,72051,79260,94586,104220,112037,112583,121146,124986,132699,139903,149728,166635,182519,193940,207631,220795,235776,243866,251669,255742,270809,270424,269486,289643,295798,308221,337156,364201,383770,390022,402671,387963,388591,364329,368630,377374,397863,419255,418739,426968,440559,457035,491935,549223
 "01027","Clay, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13075,12678,12926,13240,12959,13139,13165,13381,13330,13697,13895,13740,13864,13765,13759,13667,13700,13509,13331,13266,13172,13284,13314,13425,13518,13553,13590,13734,13963,14118,14174,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13924,13822,13672,13751,13897,13976,14062,14132,14184,14256,14193,14190
 "01027","Clay, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2215,2373,2484,2748,3121,3233,3703,4123,4670,5260,5704,6884,7517,8139,8182,8864,9123,9823,10495,11287,12651,13740,14567,15466,16333,17397,17945,18325,18316,19182,19079,18894,20258,20748,21701,23876,25872,27309,27691,28435,27700,27908,26359,26962,27443,28629,29998,29778,30213,31060,32059,34660,38705
 "01029","Cleburne, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",28617,29626,32072,35930,41561,43508,51075,56012,63199,69940,79417,92405,97165,103999,115616,123729,130031,136155,138741,150778,166860,179016,188824,190500,207823,215857,225689,226797,237297,255842,264262,263217,290491,294919,303828,332212,351463,359484,381879,402683,399510,421212,427745,451306,471359,494310,513797,507578,523320,536201,538034,566371,646954
 "01029","Cleburne, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",11115,11008,11165,11384,11654,11839,11985,12055,12086,12217,12559,12640,12799,12876,12727,12630,12659,12555,12731,12745,12754,12724,12684,12850,13027,13030,13080,13254,13768,13921,14039,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,15006,14938,14907,15000,15062,14964,14919,14979,15110,15021,15035,15103
 "01029","Cleburne, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2575,2691,2873,3156,3566,3675,4262,4646,5229,5725,6324,7311,7592,8077,9084,9796,10272,10845,10898,11830,13083,14069,14887,14825,15953,16566,17255,17112,17235,18378,18823,18573,20425,20458,21044,23168,24462,24727,25804,27073,26780,28070,28635,30275,31424,32818,34336,34022,34937,35486,35819,37670,42836
 "01031","Coffee, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",94143,110314,121981,111767,123755,140015,155870,173975,198841,228251,256978,274384,330912,358797,390508,443086,477680,515717,540823,587222,637349,626976,677468,727301,761227,796912,829183,862566,888078,998618,1044433,1052801,1106471,1142730,1207504,1313442,1356936,1410535,1542982,1656188,1678519,1780123,1816243,1845972,1885332,1916967,2017252,2046903,2112287,2190302,2286312,2435403,2665155
 "01031","Coffee, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",36137,35107,36396,36171,35648,35507,36451,36960,37355,37450,37849,38779,39694,39836,40248,40241,40386,40636,40394,40699,40408,40293,40577,41469,41910,42666,43174,43128,43201,43509,43667,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,50213,50494,51241,50825,50843,51189,51501,52200,52389,52968,53565,54174
 "01031","Coffee, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2605,3142,3351,3090,3472,3943,4276,4707,5323,6095,6790,7076,8337,9007,9703,11011,11828,12691,13389,14428,15773,15560,16696,17538,18163,18678,19206,20000,20557,22952,23918,24158,25310,26013,27248,29153,29755,30513,32513,34137,33951,35451,35969,36025,37095,37704,39408,39745,40465,41808,43164,45466,49196
 "01033","Colbert, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",141616,153518,170323,184689,205524,229794,250283,290813,320898,369488,407082,445914,487190,506125,513689,552772,579353,605753,631689,688681,733278,805021,840647,890007,924714,971013,1013533,1074814,1122175,1121561,1138164,1181214,1188762,1206823,1286109,1364896,1451850,1534172,1617000,1664153,1658530,1730889,1780368,1795218,1811528,1882737,1935817,1969522,2012946,2063842,2157624,2351727,2544890
 "01033","Colbert, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",50891,49663,50387,50720,51277,50779,52084,52053,53133,53323,54097,54580,54724,54069,53505,52995,52858,52481,51905,51502,51382,51876,52557,52827,53367,53454,53702,54163,54899,54928,54715,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54572,54768,54980,55123,55240,55373,55595,55978,56452,56912,57236,57474
 "01033","Colbert, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2783,3091,3380,3641,4008,4525,4805,5587,6040,6929,7525,8170,8903,9361,9601,10431,10961,11542,12170,13372,14271,15518,15995,16848,17327,18165,18873,19844,20441,20419,20802,21478,21696,22129,23694,25099,26709,28195,29677,30550,30473,31718,32507,32652,32863,34083,34960,35426,35960,36559,37912,41088,44279
 "01035","Conecuh, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30256,32027,36045,41017,48030,50763,54748,61973,67659,82596,95242,100580,112591,115968,124620,130470,137851,140623,139423,145155,157745,168919,186602,199501,209170,227538,236702,247890,264649,273695,272079,274589,278732,277788,280961,290959,307943,313617,323979,333773,332963,348398,348564,350753,372009,362572,377069,374679,386476,399123,402913,437665,471880
 "01035","Conecuh, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16645,15663,15788,15796,15702,15518,15794,15516,15435,15811,15933,15838,15630,15526,15308,15140,15029,15006,14767,14443,14225,14042,14331,14233,14255,14321,14322,14458,14361,14242,14158,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13226,13155,12973,12808,12544,12517,12308,12214,12020,11787,11552,11328
 "01035","Conecuh, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1818,2045,2283,2597,3059,3271,3466,3994,4383,5224,5978,6351,7204,7469,8141,8618,9172,9371,9442,10050,11089,12030,13021,14017,14673,15888,16527,17146,18428,19217,19217,19565,19995,20140,20682,21665,22945,23055,24104,24931,25084,26342,26497,27037,29045,28904,30125,30442,31642,33205,34183,37887,41656
 "01037","Coosa, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25107,25917,27603,30288,34342,36390,39669,44869,48864,54296,61021,70880,73600,77445,84687,90990,97198,104074,110273,117838,129310,136826,143659,155649,159037,168971,176595,188746,201261,206699,214047,219429,235508,237537,255129,270274,272886,289135,293334,306204,298333,281196,291776,294414,297156,295890,309770,319553,323056,332054,347795,369036,399977
 "01037","Coosa, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",11012,10661,10720,10852,11408,11470,11469,11240,11516,11652,11630,11395,11447,11330,11257,11238,11033,11129,11185,11073,11073,11071,11170,11177,11444,11794,11952,11854,11941,12007,12135,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11772,11449,11282,11165,10925,10798,10651,10538,10409,10441,10383,10450
